"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","shapley_triple","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta","shapley_norm_triple"
3023,"heggarty2024",0.691589480325011,0.729495819187296,0.393258366413957,1.06482907901351,0.308410519674989,0.01452782278766,0.212475695949897,0.0803956992570552,0.218367362238422,0.0193234261553272,0.0757692861444074,0.208584184476181,0.319515480416354,0.151489690805236,0.410189945635844,0.118804883142566,0.00559635997638059,0.081849186774059,0.0309697660944406,0.084118755028932,0.00744370648808259,0.0291875944947281,0.0803501115597311
3024,"heggarty2024",0.240408878391693,0.0637856695995851,3.52490118627452,0.185133509592178,0.759591121608307,0.0853657671355096,0.00304954616579206,0.0799159932509321,0.0285660492412677,0.0262176083054199,0.0394904615108545,0.0236778195890855,0.0601952731699011,0.74116244440821,0.0389270499398684,0.159715232482021,0.0179494111452828,0.000641212042872314,0.0168035158363608,0.00600643302149418,0.0055126386900846,0.00830345176714799,0.0049786106666584
3025,"heggarty2024",0.087103310414988,-0.167040036126823,0.857027795922459,0.111769419969236,0.912896689585012,0.107984891524171,0.0803228564341779,0.0228462313944706,0.052250194458912,0.0606589541634537,0.0132291679813716,0.135822870359511,0.200914448641848,0.363947891227539,0.0474643236719582,0.387673336458654,0.0458571749266957,0.0341101354654737,0.00970194639902468,0.0221887180089435,0.025759606114169,0.00561793656217738,0.0576789311653642
3026,"heggarty2024",0.216340795100928,0.0346651548708271,0.605270672725485,0.0021410947647508,0.783659204899072,0.0393000146850604,0.0636893654361639,0.0164385749485483,0.0279653057853513,0.0108808706545624,0.018580697022814,0.0312394290242801,0.130126802196541,0.378491641383355,0.00133888276499295,0.490042673655111,0.0245753308970989,0.0398266321975441,0.0102794724652077,0.0174874398602914,0.00680409406783389,0.0116189976338095,0.0195348350747554
3027,"heggarty2024",0.084706580653928,-0.0490149390256997,1.05662674495987,-0.000597020286191671,0.915293419346072,0.005552158647943,0.0634390834451343,0.00561494443085618,0.0137363684626657,0.00200267091237118,0.00549639145598114,0.030954830576312,0.0604161834865832,0.503463277890349,0,0.436120538623068,0.00264550183458283,0.0302275605363932,0.00267541810938958,0.00654512780933434,0.000954235984360155,0.00261892978972614,0.014749409422797
3028,"heggarty2024",0.290659106424413,-0.0219449226122326,3.7504025959307,0.265658923534728,0.709340893575587,0.0462228003655885,0.0122310779863957,0.011313663061119,0.0283633875028337,0.00587811682421286,0.0346570107434554,0.069159673084433,0.0421277353408847,0.760232952443025,0.0538509300310259,0.143788382185065,0.0093696863452057,0.00247932543008785,0.00229335897997523,0.00574945789712313,0.00119153557352085,0.00702521954014602,0.0140191515748259
3029,"heggarty2024",0.33225491558001,0.0603534886012856,0.400058817843919,0.170163476875784,0.66774508441999,0.00565323861823458,0.00501283399933881,0.0289637473052066,0.0276277038249901,0.0774055914602162,0.0317769802503059,0.0277920888409289,0.141611597643416,0.277394909820928,0.117988856181616,0.46300463635404,0.0039198726456098,0.00347582548658228,0.0200830370771592,0.0191566441464676,0.0536719004931905,0.0220336914917197,0.0192706263026865
3030,"heggarty2024",0.147373832914423,-0.0406970471696932,0.784204163314224,-0.0446403538554434,0.852626167085577,0.0175517532653079,0.00210863841411503,0.0210768872195211,0.0177567046117066,0.0109714388642892,0.059868618177837,0.0242651500714941,0.0857890181214264,0.437997784389571,0,0.476213197489003,0.00980309644094161,0.0011777276845329,0.0117719725753101,0.00991756693195626,0.00612782504726231,0.033438131730309,0.0135526977111141
3031,"heggarty2024",0.473316176111846,0.599132425234599,1.98739499430392,0.850825802998918,0.526683823888154,0.00854705874821005,0.0623269155643411,0.0705898734044005,0.0277876391370827,0.0300350173097193,0.379210448727468,0.0960168143156915,0.166982892671941,0.492000284004289,0.21063076938073,0.130386053943039,0.00211591321482298,0.0154296756541382,0.0174752567367496,0.00687911883970597,0.00743548066127204,0.0938774873671527,0.0237699601981
3032,"heggarty2024",0.236892435857319,0.0393903834148078,7.06349646604781,0.0193271853258036,0.763107564142681,0.0435749427411853,0.0362610342687133,0.0505687288152024,0.0496062772350213,0.0146563946749644,0.0262499362690268,0.137432549708676,0.0436783991494428,0.860952519524299,0.00235574392675728,0.0930133373995014,0.00531124449788839,0.00441976986387216,0.00616370018614162,0.00604638928822299,0.00178643253850362,0.00319954131453203,0.016751321460282
3033,"heggarty2024",0.0912348215846271,0.0316413806284552,0.24391837374943,0.0471188187565151,0.908765178415373,0.0335877106752308,0.055774963453283,0.0530215230145083,0.0633123506195075,0.0519685636540558,0.0972865423822725,0.0643687886817301,0.258980010046034,0.15064846948635,0.0291014482450005,0.561270072222616,0.0207443872677332,0.0344476422613646,0.0327470668535056,0.0391028710703441,0.0320967398049723,0.0600859561591043,0.0397553466290097
3034,"heggarty2024",-0.035201666393724,0.0731493954359047,0.598768845985674,-0.0549789099925721,1.03520166639372,0.0433385902975514,0.0898144597875573,0.0118972766550016,0.0714136203560854,0.0264665674832669,0.0190056193584784,0.0115566802001736,0.143380378713459,0.313908444614165,0,0.542711176672376,0.0227205365865017,0.0470858121039386,0.00623722432279872,0.0374390528841602,0.0138752693775703,0.00996381901254024,0.0060586644259488
3035,"heggarty2024",-0.145356841581198,-0.229816988340669,0.108976032779984,0.060012779848267,1.1453568415812,0.0462942790083034,0.00475744188551962,0.015846908048928,0.0326520890723296,0.1125734404302,0.0109198463559049,0.098259039491491,0.196437685296919,0.066625573620901,0.0366905068938243,0.700246234188355,0.0283033141839676,0.00290859638128672,0.0096884545339351,0.019962776299233,0.0688249503290597,0.00667615629560609,0.0600734372738312
3036,"heggarty2024",0.0905488148676247,0.0676092642220233,0.37625778844424,0.835251855450108,0.909451185132375,0.043585802270899,0.104007281627475,0.0822605573110013,0.0335751045579027,0.0232571176046587,0.053585885994487,0.0338294629505098,0.149936637293183,0.15080097496959,0.334761958464288,0.364500429272938,0.0174688250426939,0.0416852486647845,0.0329693434263069,0.0134566211186563,0.00932125823698322,0.0214767749685413,0.0135585658352174
3037,"heggarty2024",0.0627109807503647,0.155383025931102,0.177025474072917,0.180821987344359,0.937289019249635,0.00460728147790901,0.087462745578167,0.0421005719857842,0.0795067789125644,0.00458179881842671,0.0123384818528798,0.0295543942844792,0.167269318389346,0.113821628753195,0.116262663448353,0.602646389409106,0.00296233231226388,0.0562357039802802,0.0270693000538967,0.051120275881994,0.00294594779007899,0.0079332429877186,0.0190025153831134
3038,"heggarty2024",0.0684681699992002,-0.132827486761361,0.240703681777972,0.605848251100867,0.9315318300008,0.037823942028687,0.00179507344393648,0.0398749935271492,0.0049054968788101,0.00835985611082613,0.0340977085801579,0.0141725558064942,0.0734868649062771,0.125424418966367,0.31569174312094,0.485396973006416,0.0197090709910353,0.000935366015362265,0.0207778205031513,0.0025561266500843,0.00435610327020249,0.0177674277981992,0.00738494967824223
3039,"heggarty2024",0.13372337621723,0.0303052738376378,0.208000546946506,0.0668148126555558,0.86627662378277,0.0023943648514582,0.00212462875607629,0.0451825577777852,0.0394988414818446,0.0134725559087687,0.0101763535315904,0.0081115154247993,0.0958444984435276,0.164811287421878,0.05294137661785,0.686402837516744,0.00189719863490556,0.00168347057602946,0.0358008458424166,0.0312972971074433,0.0106751127186144,0.00806333421437073,0.00642723934974756
3040,"heggarty2024",0.460639182880012,0.470260141100665,0.878162271862561,0.89620984051478,0.539360817119988,0.0307364854022374,0.00827613707492194,0.168297503735582,0.0671168172299213,0.163642343663134,0.107766553154687,0.133912346821151,0.227076156691601,0.29335821328519,0.299387170191671,0.180178459831537,0.0102678066789892,0.00276471998740388,0.0562213346873946,0.0224209923550894,0.0546662354931269,0.0360004118809493,0.0447346556086479
