"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","shapley_triple","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta","shapley_norm_triple"
15189,"long_v3_CCD0.0.25",0.975691203320046,0.296077262417577,0.833853931182739,0.731063567223687,0.0243087966799539,0.0137980008423032,0.0180311996333027,0.201206826103264,0.0076337990867796,0.0225869654046991,0.0753999052948603,0.00482841688077277,0.177721884273637,0.431442546252795,0.378258007932226,0.0125775615413419,0.00713919356134439,0.0093294837271442,0.104105985630247,0.00394978735773409,0.0116866725716636,0.0390125007643635,0.00249826066113977
15190,"long_v3_CCD0.0.25",0.976105267354065,0.261600259930651,0.993121448430451,0.684703312727668,0.0238947326459352,0.00986076280553955,0.00999431876285624,0.147585235269218,0.012666552501317,0.0052020318826445,0.0497428499306169,0.0010073562538735,0.12181944173532,0.512505116843719,0.353344449309162,0.0123309921117992,0.00508869423956979,0.00515761643596173,0.0761620729927831,0.00653663555444721,0.00268453366106732,0.0256700377945928,0.000519851056898047
15191,"long_v3_CCD0.0.25",0.988312062123192,0.227584360318833,1.25567876128258,0.7079617099462,0.0116879378768077,0.00238556407876668,0.0170236126518108,0.161658249981165,0.0152437152595222,0.0156421436786278,0.0215579900662542,0.00240249744757835,0.106688346964156,0.567861255248814,0.320164709059433,0.0052856887275969,0.00107883437549047,0.00769866493517239,0.073107437655364,0.00689373393007461,0.0070739170064922,0.00974926683251407,0.00108649222904782
15192,"long_v3_CCD0.0.25",0.977042242024924,0.241976121440044,1.56122072287504,0.650637008723053,0.0229577579750761,0.00209975562601056,0.0192604138638917,0.125648528577764,0.0340982531482345,0.0161275921570283,0.0213515641549586,0.00749435667787366,0.0918691681615368,0.634411511985154,0.264390295625437,0.00932902422787214,0.000853248436930538,0.00782658601811898,0.0510580418423703,0.0138560320260081,0.00655354491207277,0.00867633762499034,0.00304537730104574
15193,"long_v3_CCD0.0.25",0.984419244636373,0.213812132068341,0.599930076056493,0.803617370356516,0.0155807553636266,0.00698184447773031,0.0068196498348705,0.0648118136006808,0.0031947185586877,0.0195805802229413,0.0363237244374341,0.0763206712662615,0.131054424910059,0.367342840696159,0.492062491015606,0.00954024337817585,0.00427504918674344,0.00417573587802343,0.039684884403932,0.00195615628789141,0.0119893738431226,0.0222413588717213,0.0467318664386251
15194,"long_v3_CCD0.0.25",0.989923173147488,0.273714649472395,0.919718201451208,0.657176663188576,0.0100768268525121,0.00712160334251348,0.00753800742002086,0.0131993824696204,0.0088748566934511,0.0791791102166711,0.0881133558444056,0.0447022334051352,0.135495188077126,0.501017639463974,0.35799780843961,0.00548936401929045,0.00387950231955276,0.00410633896108789,0.00719038009346412,0.00483458927323383,0.0431329192278891,0.0479998606972826,0.0243515975046153
15195,"long_v3_CCD0.0.25",0.968189923794999,0.372264666059463,0.357887978865847,0.788718476415977,0.0318100762050007,0.00968242443884041,0.0256647057493723,0.210573305575946,0.039727520423068,0.00517464390970547,0.0187701812802686,0.0298065824585963,0.223610363339656,0.235791428966275,0.519640411492943,0.0209577962011257,0.0063791823953605,0.0169089715218176,0.138734418465941,0.0261741364980393,0.00340926981042425,0.0123665731384891,0.0196378115095841
15196,"long_v3_CCD0.0.25",0.973220919486813,0.269750488243603,0.419150224947889,0.747480930567657,0.0267790805131874,0.00188670370535273,0.00890886656553158,0.25483967712857,0.00662957511253068,0.013446864108578,0.0228989925021565,0.0309446171838219,0.221502238076595,0.273424428734133,0.487604525216536,0.0174688079727356,0.00123075415953977,0.0058115243804341,0.166239665376139,0.00432467330327472,0.00877179807695571,0.0149377086562885,0.0201861141239632
15197,"long_v3_CCD0.0.25",0.982214957967926,0.301685518298651,0.473065129686829,0.66638318602491,0.0177850420320744,0.00111129561809769,0.0139287441523863,0.178268438698324,0.00495365307205379,0.0117705234459004,0.0196709338420043,0.0144149838707496,0.174202188184297,0.337577677248549,0.475528788699134,0.0126913458680205,0.000793016796106404,0.00993950473809946,0.127211755181247,0.00353491008535355,0.00839940573826928,0.0140371118879333,0.0102864837572881
15198,"long_v3_CCD0.0.25",0.985328971230044,0.0750947476074811,0.152736792213798,1.33084160093275,0.0146710287699559,0.00914443995255667,0.00606014657095032,0.036703177174385,0.00143458790710943,0.00453135858649847,0.00102278248245444,0.00278888709952153,0.039543562786501,0.0979122922626818,0.853139246262704,0.00940489868811297,0.00586206548033283,0.00388487170385901,0.0235286610277699,0.000919646068255701,0.00290483844683082,0.000655657198843434,0.00178782286060939
15199,"long_v3_CCD0.0.25",0.987801853445696,0.117405479096964,0.234759036389955,1.2535141082327,0.0121981465543039,0.000890387316434687,0.0188527050869382,0.0798872420351196,0.00411334933046733,0.0137428705927846,0.00217590948102979,0.00772731402053169,0.0782559275395724,0.144213189230185,0.770037524745113,0.00749335848512888,0.000546967633398611,0.011581274007648,0.049074975472089,0.00252684298967382,0.00844228715469369,0.00133666780440461,0.00474691247766461
15200,"long_v3_CCD0.0.25",0.988789723933647,0.244979658666921,0.213204878998729,0.719223631064014,0.0112102760663526,0.0241098634285051,0.0128138346213068,0.0716038334503099,0.0143678407870595,0.00621716137732875,0.108495769964759,0.011648465775516,0.208951042066068,0.178728873629937,0.602922550702375,0.00939753360161984,0.0202112107104924,0.0107417908985099,0.0600252328195351,0.0120445086079889,0.00521182374138888,0.0909516088491097,0.00976486643904269
15201,"long_v3_CCD0.0.25",0.989198457836173,0.337856544213009,0.292813544674809,1.0490669488591,0.0108015421638272,0.0497116754601135,0.0435868156134821,0.172165133538833,0.016468551925424,0.00402910725833969,0.0430130413628882,0.00993758827680481,0.200350630013464,0.173099191342449,0.620164756084874,0.0063854225592137,0.0293874753368408,0.0257667128898196,0.101776867685658,0.00973552307506103,0.0023818406659608,0.0254275214125222,0.00587468894760146
15202,"long_v3_CCD0.0.25",0.990721285550133,0.22306256981409,0.297557756922495,0.993723344762079,0.00927871444986739,0.00147533354909784,0.0327979502826111,0.149140423709413,0.0202842877093047,0.00466664166320836,0.00173942552366398,0.0102924671849231,0.144906545304281,0.195638591306486,0.653354284318864,0.00610057907036859,0.000970003875005286,0.0215640313241827,0.0980570048085217,0.0133365351121984,0.00306822853675445,0.00114363934804363,0.006767102299575
