"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta"
7093,"heggarty2024",0.165156714020368,0.022843853499872,0.315924029552372,0.00377708639474638,0.834843285979632,0.00665830681287663,0.0020095943807304,0.0537795670888938,0.0105441192148031,0.01924222427613,0.0269934726980314,0.0936017700382387,0.248022493297598,0.00296527740024327,0.65541045926392,0.00522723725450674,0.0015776723585471,0.0422207273588909,0.00827787218651267,0.0151064939514713,0.02119176692831
7094,"heggarty2024",0.26302177725272,0.060997988401368,1.13217843870503,-0.0610075972981468,0.73697822274728,0.00259866983643938,0.0186459491977187,0.0401564477527391,0.00109071057108919,0.00718543183569074,0.0113229819637277,0.0415352185897303,0.580557629090162,0,0.377907152320108,0.0013325440120172,0.00956125614858442,0.0205913938148111,0.000559293766360176,0.00368454046456579,0.00580619038339157
7095,"heggarty2024",0.332710274469016,0.0500567141241458,2.24672858181846,0.384934857342405,0.667289725530984,0.00481773306363986,0.00310523379804154,0.0254353874387332,0.00105303041273995,0.0518319519818901,0.112416246440067,0.0567986216480188,0.642360588150971,0.110056454243415,0.190784335957594,0.00137743467072879,0.000887815210523462,0.00727221372764493,0.000301071184451221,0.0148192369249834,0.032140849929687
7096,"heggarty2024",0.13719663710996,0.111540023480855,0.349922258342762,1.57232300132361,0.86280336289004,0.0105952291333259,0.0095915662627615,0.102617861509002,0.000448574963405912,0.0269160478524448,0.0198822179574395,0.0575450884096842,0.118412995873372,0.532070974704804,0.29197094101214,0.00358540445407449,0.0032457669359776,0.0347256801237748,0.000151796874946583,0.00910833702998404,0.00672810299092669
7097,"heggarty2024",0.203360180451911,0.0551233265260195,0.48135885386081,-0.019626514106474,0.796639819548089,0.0406988136784131,0.00537415081078655,0.0133591229637865,0.0582914771624228,0.00600009247880614,0.0033428931786932,0.0904346276110552,0.342588262628454,0,0.566977109760491,0.0289657825077804,0.00382484081180532,0.00950783119432742,0.0414866699281596,0.00427033021505123,0.00237917295393131
7098,"heggarty2024",0.248761224239084,0.159098353711085,0.570883987480622,0.706090643536416,0.751238775760916,0.0417229714972788,0.446774188098723,0.0615220957671468,0.0388790382553237,0.0196362763395288,0.0196891663634601,0.236491097842608,0.214905889628745,0.265803633024262,0.282799379504385,0.0157063650482609,0.16818549208262,0.0231596278974497,0.0146357832543936,0.00739195971210446,0.0074118698477795
7099,"heggarty2024",0.383031342416114,-0.0203573971358395,1.33128510820554,0.124856618812005,0.616968657583886,0.00444998172513641,0.00214585495205842,0.00977147535388388,0.0705716849689134,0.0346761756275161,0.00158088985531021,0.0560923830307786,0.606147247790906,0.0568484507149542,0.280911918463361,0.00202612059489424,0.000977028936425148,0.00444904916017352,0.0321319846156269,0.0157884049712421,0.000719794752416699
7100,"heggarty2024",0.174681524210673,0.0129282347975178,0.88733083862,-0.000428158696702649,0.825318475789327,0.0868571543071846,0.0630668189962418,0.0118862841714591,0.031441806785148,0.00614766507900368,0.00249363859275233,0.105452529104712,0.463468820415623,0,0.431078650479665,0.0453670503709926,0.0329409313137502,0.00620841952550488,0.0164226199160526,0.00321103579236284,0.00130247218604868
7101,"heggarty2024",0.215093371407682,0.0548728959648152,1.26134485196066,1.18190833547272,0.784906628592318,0.0143173941935141,0.0413300024002188,0.0219409295899082,0.652970249972549,0.0459536510765842,0.0430963547801655,0.202484060701221,0.311614877118921,0.291990108931484,0.193910953248374,0.00353710805204458,0.0102105650165769,0.00542050024416904,0.161316109461437,0.0113528360710685,0.0106469418559244
7102,"heggarty2024",-0.0283045946807257,-0.127079144591222,0.252434228291293,-0.0180446652862998,1.02830459468073,0.0532781283684694,0.0132781654294936,0.0903857458392637,0.000426845982650451,0.0201838404650494,0.10277080584077,0.17957228360943,0.161706691279371,0,0.658721025111199,0.0341294043772905,0.00850585204866057,0.0579001508528376,0.000273433012660419,0.0129295542882859,0.0658338890296946
