"sample_id","tree","R2_full","partial_R2_phylo","prop_residual","prop_phylo_norm","prop_residual_norm","shapley_longitude_norm","shapley_norm_longitude_norm","shapley_latitude_norm","shapley_norm_latitude_norm","shapley_log_n_speakers_norm","shapley_norm_log_n_speakers_norm","shapley_n_segments_norm","shapley_norm_n_segments_norm","shapley_delta_norm","shapley_norm_delta_norm","shapley_longitude_norm_latitude_norm","shapley_norm_longitude_norm_latitude_norm","shapley_longitude_norm_log_n_speakers_norm","shapley_norm_longitude_norm_log_n_speakers_norm","shapley_longitude_norm_n_segments_norm","shapley_norm_longitude_norm_n_segments_norm","shapley_longitude_norm_delta_norm","shapley_norm_longitude_norm_delta_norm","shapley_latitude_norm_log_n_speakers_norm","shapley_norm_latitude_norm_log_n_speakers_norm","shapley_latitude_norm_n_segments_norm","shapley_norm_latitude_norm_n_segments_norm","shapley_latitude_norm_delta_norm","shapley_norm_latitude_norm_delta_norm","shapley_log_n_speakers_norm_n_segments_norm","shapley_norm_log_n_speakers_norm_n_segments_norm","shapley_log_n_speakers_norm_delta_norm","shapley_norm_log_n_speakers_norm_delta_norm","shapley_n_segments_norm_delta_norm","shapley_norm_n_segments_norm_delta_norm"
179,"heggarty2024",0.0394708101961434,0.209846194509325,0.960529189803857,0.102534219967334,0.469329984575999,0.0322959324328655,0.0157803111362805,0.0215120114786233,0.010511114209369,0.12677031334332,0.0619420105476069,0.01054978007724,0.00515479193499816,0.129525730359831,0.0632883515433695,0.0169850635928688,0.00829917478686027,0.02824551828757,0.0138012137506756,0.0255078533257875,0.0124635466938838,0.0319065350473569,0.0155900453214831,0.0587135830451766,0.0286883993922365,0.0226695823055749,0.0110767219015931,0.0366856650892888,0.0179252049945844,0.0866849084609204,0.0423556381032454,0.180909680288081,0.0883953745087041,0.0672591418467243,0.0328638966317766
180,"heggarty2024",0.426090278423665,-0.000217456165548224,0.573909721576335,0,0.477031016475218,0.0487762870722824,0.0405426165949397,0.0243214870838202,0.0202159037730126,0.0126406938770173,0.0105068843102069,0.0235831180738299,0.0196021749823553,0.0191699625751729,0.0159339812329879,0.221251319473434,0.183903038852527,0.0283219696447272,0.0235410857496818,0.0194366799731107,0.0161556754588679,0.0279328834699545,0.0232176791815921,0.0168294041709776,0.0139885202785956,0.0603627003649886,0.0501731879244174,0.0257721035714303,0.0214216492615185,0.0341061184862448,0.0283488426103504,0.00955700753791807,0.00794373896952361,0.0571153482149147,0.0474740043442056
181,"heggarty2024",-0.158355840289578,-0.00524397554491982,1.15835584028958,0,0.463261139286908,0.0499299712394695,0.0199684885735775,0.17286678753669,0.069134597637195,0.0788590976508899,0.0315381113041706,0.0326498668983213,0.0130576581140222,0.217039112616474,0.0868004313384323,0.178629055826032,0.0714391010374022,0.032050849546229,0.0128180931622769,0.0368249898864187,0.0147274146472525,0.029956037084458,0.0119803150168411,0.089105194944317,0.0356358320047551,0.099263463339594,0.0396984273025885,0.0866777903474087,0.0346650403188489,0.0772738445203944,0.0309041211728584,0.0597929414199006,0.0239129852848792,0.101163337514996,0.0404582437979914
182,"heggarty2024",0.255569038203855,-0.013118685546678,0.744430961796145,0,0.644456715216983,0.046124916271124,0.0399305154611329,0.0382109138425069,0.0330793334562091,0.00644648583743302,0.00558074730994672,0.0123311470439642,0.0106751208999109,0.00921143826422387,0.00797437714286173,0.181220902178662,0.156883624325529,0.0124105816043772,0.0107438877010054,0.0133595042775728,0.0115653736686055,0.00948609176201209,0.00821214572059576,0.0235554005663997,0.0203919998679464,0.0217660482734477,0.0188429507817834,0.00644015707804415,0.00557526847887109,0.018291865971656,0.0158353379483844,0.00765213238251825,0.00662448010994155,0.00419095064015874,0.00362812191029317
183,"heggarty2024",-0.160226253351946,0.312718041658573,1.16022625335195,0.108718676871358,0.403361003627526,0.0264743627877312,0.00920400267931119,0.0748672501234847,0.0260281380992689,0.0658817883508528,0.0229042776727404,0.0202808200560236,0.00705077299238241,0.140717937981666,0.0489216034619955,0.0415734633427534,0.0144533136099605,0.060030359036299,0.0208699861764438,0.139607786850213,0.0485356514347361,0.0777495469365873,0.0270301893215427,0.0603091196347208,0.0209668993038846,0.0998467708376389,0.0347124481778303,0.0627449128461087,0.0218137203368823,0.28903665578616,0.10048567270929,0.116867687142147,0.0406298921793013,0.127463927432829,0.0443137513455455
184,"heggarty2024",0.0171076901085759,0.334761140105608,0.982892309891424,0.155625140355009,0.456931033370408,0.0827757010319793,0.0384811095069819,0.0315692147780718,0.0146760268506223,0.0302547627365797,0.0140649589608947,0.146489047681877,0.0681004330394255,0.0392751660541234,0.018258401281914,0.176877723955492,0.0822276462780715,0.0330249211569558,0.0153527616396663,0.0264387849982306,0.0122909714815391,0.0251077983455809,0.011672216913539,0.108948499964298,0.0506484282884885,0.0298231832988406,0.0138643245307715,0.0255811281595525,0.0118922604308669,0.0270324944538746,0.0125669775834885,0.0223850324687077,0.0104064462759777,0.0278367499815902,0.0129408632123358
185,"heggarty2024",0.282139816522783,0.117369022728566,0.717860183477217,0.0583952555846709,0.35716092639841,0.124055661348504,0.061722095683839,0.135092601424688,0.0672133651997484,0.0147177041690871,0.00732258032480183,0.0313881259647892,0.0156167069932635,0.124949213934434,0.062166669817803,0.303014298681786,0.150760371058504,0.0677437467714957,0.033704919023935,0.0193234839592083,0.00961411928251163,0.0352137405974821,0.0175200860881138,0.0229979724623788,0.0114423077627191,0.0486699060567618,0.0242150061182608,0.079757761248327,0.0396823177417803,0.0745327186057132,0.0370826735301908,0.0390603288679673,0.0194339003123615,0.0541603543816565,0.0269466990790868
186,"heggarty2024",-0.148645149451581,-0.0245753885553497,1.14864514945158,0,0.582058275591545,0.0567218222022336,0.0287429116252356,0.0239747038884752,0.012148812720627,0.0990432183195134,0.0501886286566546,0.0121472666088029,0.00615544065880253,0.0270604304427881,0.013712457226511,0.239430601550428,0.121327777450527,0.0924769071045323,0.0468612513681908,0.016587431045288,0.00840542574469035,0.00850468472197895,0.00430961827165536,0.0264243308920235,0.0133901235555776,0.0304851981809828,0.0154479056414954,0.0139440749481558,0.00706594566905013,0.0565811417358221,0.0286716239610444,0.11077998870167,0.0561360566616512,0.0106125472212316,0.00537774519674173
187,"heggarty2024",0.284069687676322,0.0316215613354603,0.715930312323678,0.0220016069538772,0.498129019342516,0.085162825554015,0.0592544749781176,0.0874091069857135,0.0608173896186607,0.00615309784351995,0.0042811940519225,0.0102411826541532,0.00712559614337791,0.00758545782644414,0.00527779953343047,0.0630527576137081,0.043870761967064,0.0559041287410293,0.0388968986891795,0.019440262374236,0.0135261193241128,0.0819916468714676,0.0570480365858526,0.0316201241081123,0.022000606961787,0.0354794609918505,0.0246858511316689,0.0278277768242493,0.0193619727246284,0.14635995397662,0.101834129789476,0.0100456206107071,0.00698952825067161,0.0214134396892501,0.0148990139536567
188,"heggarty2024",0.606513121945475,0.462976249755315,0.393486878054525,0.297828927630785,0.253126969233737,0.0373730223628805,0.0240417671069319,0.017995804582839,0.0115765575093597,0.0322384751788908,0.0207387538692432,0.0081246446366524,0.00522651907261818,0.0429050411867568,0.0276004706793488,0.154186341560789,0.0991868433567233,0.0227157518058534,0.0146128619000217,0.0330860868694857,0.0212840157071681,0.0195775416446609,0.0125940763414062,0.0152424234628895,0.00980532940263332,0.0415807990221333,0.0267485962602577,0.0414924557096413,0.0266917657121751,0.141362923270113,0.0909376406814423,0.022004727903715,0.0141554658966508,0.068154800885669,0.0438434396394984
