"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm","longitude_norm.latitude_norm","longitude_norm.log_n_speakers_norm","longitude_norm.n_segments_norm","longitude_norm.delta_norm","latitude_norm.log_n_speakers_norm","latitude_norm.n_segments_norm","latitude_norm.delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
7592,"heggarty2024",-5.25447598219455,-0.299238736726722,0.45939132623374,0.258238862017579,0.392014285699899,0.670811339788359,-0.384021157941868,0.0890790032590457,-0.0794837210423751,-0.578765810045818,0.169680989523109,0.150212307647198,-0.0899347811625854,0.350147280818167,0.418168135015765,0.369141030292755
7593,"heggarty2024",-5.25301042166223,-0.277493659552134,0.481306508802556,0.28334185950471,0.394149512315539,0.700627630791534,-0.403746441156314,0.0666790867937202,-0.0441928631216664,-0.558323307184188,0.169707248720007,0.200846566508285,-0.0747697874598086,0.386596398998567,0.476078474765631,0.379514343992634
7594,"heggarty2024",-5.21845159789317,-0.263626667947831,0.470171519898669,0.298053605929956,0.400145994183043,0.719354076865978,-0.381702257767091,0.0522142465492699,-0.0327676648327499,-0.558854903291242,0.155684464294594,0.217604915054801,-0.0675999901474903,0.405972639414149,0.476517518607554,0.394119997008934
7595,"heggarty2024",-5.23229695425473,-0.26666621013705,0.474782515634624,0.297182183953596,0.392987655250026,0.727698067367752,-0.376405878940545,0.0495947239688846,-0.027235310244965,-0.527913416774766,0.156344231380142,0.215729919925816,-0.0532322528397031,0.407992294338967,0.493127543084373,0.386035961026317
7596,"heggarty2024",-5.25230210813234,-0.281423791784867,0.465924627825639,0.285906519960293,0.389503392862551,0.70448569911368,-0.383505351069795,0.0518578950237963,-0.0261543635302364,-0.543762482856829,0.153617146617278,0.207533406640656,-0.0901604068366144,0.399548249766307,0.469547907641297,0.391456096335537
7597,"heggarty2024",-5.24866966362472,-0.276076632900672,0.459040887418455,0.274630632089925,0.382446111066694,0.67743815922677,-0.362427150655991,0.0496199263607398,-0.0320467689054989,-0.576672019294975,0.142516294489068,0.196138062371467,-0.120986124649594,0.399305765555217,0.415795643613644,0.39325318843762
7598,"heggarty2024",-5.25203861728469,-0.270233453316019,0.4620820280788,0.275379106079051,0.373573202027751,0.667934055480853,-0.364557282674043,0.0650254391687096,-0.0248262770443591,-0.556564532455868,0.144237921006381,0.199696805650801,-0.104168750374964,0.393524325254685,0.422033956777653,0.384718655869998
7599,"heggarty2024",-5.2339167732521,-0.290434658100876,0.452749213023198,0.281434244454671,0.364593117939028,0.648229244006641,-0.358386029346274,0.0803840326777725,-0.0626488526633579,-0.549150379476507,0.151055019697797,0.160923997649526,-0.088641678204479,0.375599850779888,0.420908157724974,0.365726035525016
7600,"heggarty2024",-5.2489410376261,-0.287864121912098,0.452689051532892,0.278452406194276,0.357291347210462,0.632863567017765,-0.376401107367661,0.0905463435018015,-0.0595926589281713,-0.536323270943464,0.165609624516204,0.16303894535239,-0.069295127365948,0.371562569032929,0.402176369604077,0.357466048302832
7601,"heggarty2024",-5.24608627368039,-0.286640819189695,0.43652784620421,0.272572748535246,0.348947617071897,0.624314553818993,-0.360477594429275,0.0661807374934415,-0.0540672475528467,-0.546298674105212,0.150673162309703,0.167073721787651,-0.0636705217695531,0.386840621376876,0.39752096610952,0.345599090116552
