"language","node","height","height_95%_HPD","height_median","height_range","length","length_95%_HPD","length_median","length_range","posterior","rate","rate_95%_HPD","rate_median","rate_range","glottocode","n_speakers","latitude","longitude","Hittite","log_speakers","taxonset"
"Bulgarian",21,1.76684178430984e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.204510423212962,"0.04820156860194125,0.3997782322584804",0.185935757340366,"0.029509292664654296,0.7347744602943269",1,0.00198868047511305,"5.396391727566519E-4,0.003948764959772657",0.00175561553670705,"3.944580801935205E-4,0.012339435019111654","bulg1262",7,43.3646,25.047,906.493230321179,1.94591014905531,"slavic"
"Macedonian",22,1.77715642386163e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",1.36452998597789,"0.6953928613034286,2.0686631314145654",1.32566480802411,"0.504384681112187,3.2007921039252913",1,0.00386114173316555,"0.0018850575390456593,0.006313692012823236",0.00367614536777593,"0.0011781844675571476,0.011183528617539226","mace1250",1,41.5957,21.7932,1124.62062127569,0,"slavic"
"SerboCroatian",23,1.36452998597789,"0.6953928613034295,2.068663131414567",1.32566480802411,"0.5043846811121897,3.200792103925293",1.10808123144241,"0.3295507566874143,1.9874055225719793",1.04989948492474,"0.1313472864341687,3.5610716133204052",1,0.0044176778923086,"0.0014719090222551252,0.00839797522194316",0.00399006780353426,"0.001128068583947941,0.0249915552966399","croa1245",4,45.555,15.982,1665.48459025338,1.38629436111989,"slavic"
"Slovene",24,3.72175822338676,"2.556726726916353,5.067525590425013",3.65529100167615,"1.8810938912582822,6.599241864553875",2.87097298566812,"1.297163793841845,4.575904688717747",2.82048944609219,"0.4582400130063138,6.537057683878363",1,0.00389321862042066,"0.0016829261691474976,0.006677036156574963",0.00362358200284143,"9.271581734331868E-4,0.01582142876131345","slov1268",2,46.2543,14.7766,1776.06041214752,0.693147180559945,"slavic"
"Latvian",25,6.48718565359783,"5.0286715567267155,7.886371470464986",6.46005791409353,"4.238268121645574,9.259558499876483",0.546868310314514,"0.0026054086333582305,1.2621271539784198",0.474966134614208,"9.80841357325346E-5,2.8157200087577525",0.632607129996399,0.00334343049302196,"6.883507497140773E-4,0.006972586251098298",0.00292125664312221,"5.054073015587957E-4,0.021185884559404605","stan1325",2,57,24,2050.75918969208,0.693147180559945,"baltic"
"Lithuanian",26,1.77347833533929e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.67272296176289,"0.28886777199401603,1.0998313298130338",0.645823208993311,"0.11550400728084043,1.825923090801627",1,0.00303993953920632,"0.00127247036068162,0.005313162899245933",0.00284021216785109,"8.814976510523204E-4,0.02229723429655179","lith1251",2,55.1429,23.9601,1871.25575510473,0.693147180559945,"baltic"
"Assamese",27,1.77347833533929e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.221418821178489,"0.08084252209796361,0.3778456040632534",0.208758804031886,"0.04192331503336,0.7992573290433711",1,0.0063606657012827,"0.0023085185727095823,0.011406891851698246",0.00587050550875887,"0.0014649171586449234,0.02332677795038601","assa1263",13,26.0876,91.2932,5377.24699923041,2.56494935746154,"indoaryan"
"Bengali",28,1.76252402821839e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.401200325607412,"0.20664831145736962,0.618080470070856",0.389628551242501,"0.13815729146511213,1.0148796024165847",1,0.00496867072460028,"0.0024566774232655103,0.008206011147724299",0.00474691169786557,"0.001408983310340437,0.015063511844277443","beng1280",260,24,90,5391.05303546344,5.56068163101553,"indoaryan"
"Hindi",29,1.76868082857101e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",1.34360752980283,"0.8649380410814418,1.8574626700920875",1.32118372306629,"0.5378883914665025,2.519469167090925",1,0.00336536413162893,"0.0020442441347991924,0.0049279795266224235",0.00327675690625641,"0.001414955138211709,0.009736903989018107","hind1269",320,25,77,4229.6718982302,5.76832099579377,"indoaryan"
"Urdu",30,1.27861330411719,"0.8594122101557016,1.7432153801716819",1.26226870440602,"0.671941904150934,2.2227158084435246",0.216083639938175,"0.0010076818376854035,0.5056421167493426",0.184916456518827,"7.304277873547704E-4,1.2654389737532288",0.496128916096507,0.00308805999197253,"5.764578253636648E-4,0.0064204761789403725",0.00264863252496915,"4.293408041908947E-4,0.01820666443105462","urdu1245",120,25,67,3406.46962195116,4.78749174278205,"indoaryan"
"Punjabi",31,1.77579713027728e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",1.63581867433074,"0.9738793922758981,2.25907917904917",1.63087856132232,"0.6479219170914723,2.9003195737084866",1,0.00507010463747687,"0.0028869174874461266,0.007515100856967738",0.00487036622850402,"0.0021304475524516796,0.01334848870043906","panj1256",113,30.0368,75.6702,3829.24304968156,4.72738781871234,"indoaryan"
"Nepali",32,1.76156452686473e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,7.105427357601002E-15",0.527548132669763,"0.2333893046295099,0.8412944598182381",0.510530449372565,"0.11919759845119593,1.2893049597081117",1,0.00315059739088884,"0.0013646275213413963,0.005338353119208865",0.00295939219835558,"9.449007639175564E-4,0.011702226647678102","nepa1254",16,28,85,4732.75876750629,2.77258872223978,"indoaryan"
"Marathi",33,1.77299858466246e-15,"0.0,3.552713678800501E-15",1.77635683940025e-15,"0.0,5.329070518200751E-15",2.47691622990795,"1.768948297584524,3.1986884091003276",2.47471006954712,"1.1571959312585554,4.204122523680675",1,0.00583218594690353,"0.0040029446440723905,0.008089894317817058",0.00568785607099281,"0.0030065407580986835,0.011986709288222177","mara1378",83,17.9344,76.6665,4677.4451036534,4.4188406077966,"indoaryan"
"PersianTehran",34,3.14323796596251,"2.779202119799974,3.555572941747534",3.12561357975247,"2.6098963172373377,4.138130468245724",0.227216806990415,"0.015014865066014238,0.47775979836294713",0.206052975391277,"3.43134458500316E-4,0.9264109737372355",0.480824630896651,0.00414242279797311,"9.906292047477748E-4,0.008202981998156165",0.00368657453384928,"5.568460384559753E-4,0.023616363304806938","west2369",40,32.9,53.3,1812.52691301066,3.68887945411394,"iranian"
"KurdishCJafi",35,5.58117278217997,"4.535791671917018,6.7898030471259805",5.52494556096028,"3.936159517250835,8.470636665816643",1.59842337673407,"0.5011917172340086,2.8166283265904024",1.52309256765505,"0.07088525434217097,4.1333179638956",0.999459848757652,0.00405892249528902,"0.0012152838932647102,0.007832865713210728",0.00363300763748616,"4.481850958886822E-4,0.02274447213773569","cent1972",5.3,35.6539,45.8077,1064.12575418723,1.66770682055808,"iranian"
"Pashto",36,7.3831075402897,"6.015571357355491,8.820914599496161",7.37337605557016,"5.343152794876614,9.675786393303056",0.895399198838597,"3.195637382269467E-5,2.080467558154324",0.784801922774349,"3.195637382269467E-5,3.3062551408759466",0.34029528267915,0.00434899986995525,"7.160994705347531E-4,0.009700498613713937",0.00368464406209703,"4.4931904924813476E-4,0.02037249165271701","nort2646",44,34,71.33,3270.94524379286,3.78418963391826,"iranian"
