"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm"
67,"long_v3_CCD0.0.25",2.1235164097689,0.0237829855938614,0.0156546117330595,-0.178143380561036
68,"long_v3_CCD0.0.25",2.10654342546906,-0.0106854036903901,0.0436755329757223,-0.162835268912275
69,"long_v3_CCD0.0.25",1.62672822014836,0.042697798024499,0.00801810316934846,-0.0115624926476044
70,"long_v3_CCD0.0.25",1.98215088766674,0.0244837897569673,0.0571080749275911,-0.165124496069899
71,"long_v3_CCD0.0.25",1.90707597545769,0.00153859375964484,0.0715214839178425,-0.101400532010832
72,"long_v3_CCD0.0.25",1.95691430777073,0.0264952557712372,-0.02999244254997,-0.0468263510564131
73,"long_v3_CCD0.0.25",1.69211446193655,0.0426128174394015,0.0628313384837972,-0.0625492078876742
74,"long_v3_CCD0.0.25",1.98648138139074,0.0817094955208336,-0.0361578525246606,-0.104372937928091
75,"long_v3_CCD0.0.25",2.00279637059944,0.000630128701981819,-0.00412820238642525,-0.000707003034635074
76,"long_v3_CCD0.0.25",1.89735175605375,0.0540044296247024,0.111787836382117,-0.160722222584106
77,"long_v3_CCD0.0.25",1.89841337625472,-0.00286350122645173,0.00350720376456019,-0.0353591957868231
78,"long_v3_CCD0.0.25",2.02325794785582,-0.0331316982742388,0.0411955403881554,-0.0600487203737657
79,"long_v3_CCD0.0.25",2.05140978495009,0.0820765919379425,0.00425056420560466,-0.128302781054337
80,"long_v3_CCD0.0.25",2.0934260897029,0.0226207875521869,0.0697079601606311,-0.0962470681772821
81,"long_v3_CCD0.0.25",2.00275158066548,0.08367395232542,0.073052126210546,-0.0723113042439129
82,"long_v3_CCD0.0.25",2.10536166673985,0.0300923165211725,0.0539021883715526,-0.0695468740225433
83,"long_v3_CCD0.0.25",1.61386512438665,0.0380844880502988,0.0156312234517015,0.004983766949142
84,"long_v3_CCD0.0.25",2.0083118488868,0.0667282980996173,0.0277009862475643,-0.0891208527413086
85,"long_v3_CCD0.0.25",2.0350026272315,0.0119874589735015,0.0332979577037119,-0.0302362372142904
86,"long_v3_CCD0.0.25",1.5921541448829,-0.00587115263669941,0.0364363416797866,-0.0696371996905266
87,"long_v3_CCD0.0.25",2.15809452902625,0.0268194591571093,0.0163995964656733,-0.175315750498791
88,"long_v3_CCD0.0.25",2.13744040669806,0.0424034654625179,-0.00163290179809784,-0.111036707019497
89,"long_v3_CCD0.0.25",2.08037027232926,0.036139484668679,0.0149149052811532,-0.0869497261737396
90,"long_v3_CCD0.0.25",1.92891213046557,0.0153709116847464,0.0388517758536596,-0.0444998461104359
91,"long_v3_CCD0.0.25",1.60111743641075,-0.0132163733232981,-0.00352459963457515,-0.0700086512609147
92,"long_v3_CCD0.0.25",1.97295037049192,-0.0108395383712502,-0.0214192492065481,-0.0989929251803693
93,"long_v3_CCD0.0.25",2.11489267606344,-0.0216456640906911,0.0339245131312442,-0.0267980864283529
94,"long_v3_CCD0.0.25",1.86173935496353,-0.0408668560933887,-0.0157824329010752,-0.089772865523224
95,"long_v3_CCD0.0.25",1.77829887891495,0.0489837868484257,0.0431458803617494,-0.085103943924523
96,"long_v3_CCD0.0.25",2.24074869812385,-0.00240405398855128,0.0544131646699362,-0.107602150966407
97,"long_v3_CCD0.0.25",1.8336135342712,-0.0684240216884892,0.0871820054025956,-0.0878589903257706
98,"long_v3_CCD0.0.25",1.81400279490465,-0.00447842170889744,0.00951659876949456,-0.0924449581559079
99,"long_v3_CCD0.0.25",2.09214989581445,-0.00375707290204333,-0.00690652384784669,-0.144356146202447
100,"long_v3_CCD0.0.25",2.00601174456042,-0.00724835322203047,0.00481873625356191,-0.0487933124711725
101,"long_v3_CCD0.0.25",1.66578573549913,-0.0251650443143792,-0.0459081828726571,-0.0842181879536887
102,"long_v3_CCD0.0.25",2.207494160409,0.0132726259376215,0.0138633718142796,-0.0792306856860113
103,"long_v3_CCD0.0.25",1.73828950250151,0.0124185965479537,-0.0101892568096308,-0.0909501125412992
104,"long_v3_CCD0.0.25",1.95652646594605,-0.0359593634987092,0.067182387598271,-0.04512794629696
105,"long_v3_CCD0.0.25",1.87073114958902,0.021287422997686,0.00492182545584432,-0.0807313725851718
106,"long_v3_CCD0.0.25",1.93601658418185,0.0016506886232248,0.0594193649350511,-0.07556741728579
107,"long_v3_CCD0.0.25",2.10258749360867,0.0761331790571599,0.0433418336390456,-0.146197289188121
108,"long_v3_CCD0.0.25",1.97736407492571,0.00550958651820446,0.072985698707596,-0.0383755935476515
109,"long_v3_CCD0.0.25",1.98099926618884,0.0361903595756812,0.0295101178119576,-0.0281483625773304
110,"long_v3_CCD0.0.25",1.45731309133297,0.0140808231025864,-0.0237059893527253,-0.0590385067239304
111,"long_v3_CCD0.0.25",1.99581558817524,0.103489714339391,-0.0597934217377224,-0.0951748942179444
112,"long_v3_CCD0.0.25",2.14421080909371,0.102489419277235,0.0191352046897408,-0.135990172803918
113,"long_v3_CCD0.0.25",1.83932032955211,-0.000805147017221811,0.0655185415254985,-0.0663642240265345
114,"long_v3_CCD0.0.25",1.70540827924402,0.00730230907824137,0.0944036724749148,-0.0752136565623037
115,"long_v3_CCD0.0.25",1.95896839463284,-0.054725133488851,-0.0170438490056989,-0.0597600540782755
116,"long_v3_CCD0.0.25",1.64704053135551,-0.0131741882028953,0.0127344198759787,-0.0904398509833395
117,"long_v3_CCD0.0.25",2.13169246042764,0.025337379993852,-0.01608155561119,-0.120061600039604
118,"long_v3_CCD0.0.25",1.80739502116904,-0.0767186651165955,0.0415230509165648,-0.0843477740259688
119,"long_v3_CCD0.0.25",1.60113597867016,0.0290562437287916,0.0177565586179924,-0.0415875799882938
120,"long_v3_CCD0.0.25",1.90287300620036,0.00395971222434141,-0.0202713120107348,-0.0965042342056215
121,"long_v3_CCD0.0.25",1.74418959797293,-0.00221508626616023,0.0775476657111944,-0.0598747292099092
122,"long_v3_CCD0.0.25",1.92211607874429,0.0336187362498662,0.0475286782913969,-0.101184533726443
123,"long_v3_CCD0.0.25",1.70197753721786,-0.0157818439492393,0.0131155633739523,-0.143842423296249
124,"long_v3_CCD0.0.25",2.06603015412629,0.0329293865679778,0.10978922607131,-0.1461375513189
125,"long_v3_CCD0.0.25",1.93378742869658,0.0519593979223583,0.0151069568040963,-0.179338259106578
126,"long_v3_CCD0.0.25",2.12480952827405,-0.0269401876159703,0.076732693881803,-0.193845240649726
127,"long_v3_CCD0.0.25",1.82445324687196,-0.0168602184097886,0.0359613627920985,-0.0597505007957599
128,"long_v3_CCD0.0.25",1.93354096016251,-0.085561517730083,-0.0217096463636564,0.0145607590024248
129,"long_v3_CCD0.0.25",1.77117471123563,-0.0354775741979499,-0.0159135309019102,-0.0850509188347768
130,"long_v3_CCD0.0.25",1.90705630049452,0.0600820566467571,0.0333113665427125,-0.105189737738804
131,"long_v3_CCD0.0.25",1.92220506432836,0.0294154702865532,-0.0145881728799269,-0.119696859583566
132,"long_v3_CCD0.0.25",1.82174954906409,0.0645630386431698,0.0325029387130228,-0.0666854142740696
133,"long_v3_CCD0.0.25",1.84413877679439,0.00550038233205407,0.0321346426425926,-0.0351266179152876
134,"long_v3_CCD0.0.25",2.05031302972914,0.0815196725769411,-0.0094564142264198,-0.121291974392444
135,"long_v3_CCD0.0.25",1.89426783051823,-0.0997046887873114,0.106036367431745,-0.122396849776344
136,"long_v3_CCD0.0.25",1.94087795874373,0.0523581376334501,0.0328833016150058,-0.0836758429099243
137,"long_v3_CCD0.0.25",1.78129840806517,-0.00486806017162433,0.0441172295683169,-0.0504148853214986
138,"long_v3_CCD0.0.25",2.09871920774226,0.0735542671067874,-0.0190014894186188,-0.139286795702757
139,"long_v3_CCD0.0.25",2.16678611314854,0.0459882891662018,-0.043683535535531,0.015439781086659
140,"long_v3_CCD0.0.25",1.62422869956167,0.0266957169768027,0.0876444789579844,-0.0969196702568283
141,"long_v3_CCD0.0.25",1.78333777023581,0.00144356766343984,0.0107959426668057,-0.0433872598537313
142,"long_v3_CCD0.0.25",2.22519869910585,-0.0598270069370657,0.00758283827972572,-0.0705367963627409
143,"long_v3_CCD0.0.25",2.00159255493193,0.0348609968661829,-0.00292951786167647,-0.160325751647081
144,"long_v3_CCD0.0.25",1.93225613578742,-0.0433846382563286,-0.00259555289960075,-0.0777442635502322
145,"long_v3_CCD0.0.25",1.90796734236575,0.0215604152610085,-0.0531950447071135,-0.119663847495744
146,"long_v3_CCD0.0.25",2.12943032644604,0.0201953699811106,0.0467060132834546,-0.0904389915433205
147,"long_v3_CCD0.0.25",1.79669226292972,-0.0116311287388324,-0.0270839168026831,-0.0672495132220657
148,"long_v3_CCD0.0.25",1.4060496231883,0.0116326075892799,0.00849899320939787,-0.0238083320981994
149,"long_v3_CCD0.0.25",2.28491511607869,0.024536106148495,-0.0383092286218315,-0.0800097144580922
150,"long_v3_CCD0.0.25",1.94970427526827,0.0162923364208656,-0.00257285678980426,-0.101022048387435
151,"long_v3_CCD0.0.25",1.9224459180463,-0.0423681065719662,0.0515682620082693,-0.0593133914164484
