"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm","longitude_norm.latitude_norm","longitude_norm.log_n_speakers_norm","longitude_norm.n_segments_norm","longitude_norm.delta_norm","latitude_norm.log_n_speakers_norm","latitude_norm.n_segments_norm","latitude_norm.delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
714,"long_v3_CCD0.0.25",1.97058587070118,-0.379378104896259,-0.0331411583062754,-0.0169472662011966,0.00266122601541628,-0.0425494132522927,-0.159850826205462,0.0942791058228161,-0.0363440505882131,-0.0766495788078122,0.0943731918305014,-0.22532940418151,-0.079690515004277,-0.09677798741959,-0.0196605118460106,0.133359023943354
715,"long_v3_CCD0.0.25",1.75381545735147,-0.146484378287017,-0.0236212579662219,0.014752347681472,0.00755939876102816,0.00196098805001748,0.00775775307878582,-0.0424551204214808,0.0413002602035829,-0.0819752916261743,-0.0220236043544066,-0.0178157757491968,-0.109438904801047,0.0807925038901221,0.052804885533621,0.0392061737484092
716,"long_v3_CCD0.0.25",1.93152084272461,-0.24827953039338,-0.0275724800344578,0.0714298648976541,-0.0362139995671028,-0.136727348846205,-0.0906924208675283,-0.00641330825031653,-0.0650948246642163,-0.131686569727381,-0.0704367313438391,-0.0121259468990539,-0.0522128784837485,0.0160298426832016,0.0173346164102123,0.131570579742608
717,"long_v3_CCD0.0.25",1.68955984990954,-0.336534400799418,-0.0819393328965429,-0.0122604631567429,0.0175698336338912,-0.0433388897071997,-0.146737759576838,-0.214424792995982,-0.0561020600933411,-0.147344375049831,-0.221562962889296,-0.00258746777678663,-0.19533914712201,0.102114775414411,-0.0430694944737429,0.0495565551661866
718,"long_v3_CCD0.0.25",2.15269180844633,-0.113155712256345,-0.137424474916547,0.0364030518378538,-0.0912331310296353,-0.085636568474051,0.326608829785921,0.239966646090954,-0.384863285943351,-0.15770515037852,-0.0604101073375211,-0.384098788604908,0.000117621496059012,-0.280453133093631,0.154439116119088,0.123507821538511
719,"long_v3_CCD0.0.25",1.88833461471077,-0.197483686411169,-0.0128861460153856,-0.0732178601657929,0.0269380829937584,-0.160185898646265,-0.0366290291041421,-0.164840996692993,0.0404095811703148,-0.132798231526377,-0.108490723331197,-0.024173284161318,-0.182877028052943,0.0544675688650765,-0.0144590672738492,0.0733637642575519
720,"long_v3_CCD0.0.25",1.89044341195813,0.0388888362919965,0.125273101983729,0.0175751130648712,0.106867948478538,-0.0498957655520721,-0.0817021676502601,-0.159185885976739,0.297896825545797,0.287276026084574,0.0638966772241751,0.102776100693256,0.0877604215223495,0.0848404658939074,0.065403190748687,0.0514343683564545
721,"long_v3_CCD0.0.25",1.79617140740635,-0.173573334619764,-0.00804972628594323,0.0171964438098587,0.0437310794164297,0.112418697916201,-0.109642701363968,0.00815243110105396,0.0390641337885603,0.0138343678282334,0.0900935109580666,-0.113277140686443,-0.0876514617297242,-0.0595653832986943,0.00658059993248603,0.0554580620131708
722,"long_v3_CCD0.0.25",2.09057210966667,-0.11309023390575,-0.0583537023672862,0.0232123895716042,-0.156753582613289,-0.0750147765998388,0.225983222352359,0.184087581627271,-0.400422787460303,-0.124455850249893,-0.00170433960575613,-0.455833337509594,-0.031846539321195,-0.241010950323008,0.0190170681483464,0.144052529735718
723,"long_v3_CCD0.0.25",1.97603685896143,-0.293912777400359,-0.0846281661326222,0.0302037022103584,0.0701056325271797,-0.0201982087415322,-0.189778347054223,0.261807379093173,-0.0536185922014128,-0.00238184788171125,0.156373158687944,-0.040083392750077,-0.0557438704624944,-0.162465953422794,0.0389841036020106,0.0213102561009426
