"language","node","CAheight_95%_HPD","CAheight_mean","CAheight_median","CAheight_range","height","height_95%_HPD","height_median","height_range","length","length_95%_HPD","length_median","length_range","posterior","rate","rate_95%_HPD","rate_median","rate_range","glottocode","n_speakers","latitude","longitude","Hittite","log_speakers","taxonset"
"French",23,NA,NA,NA,NA,2.41064312779403e-16,"0.0,8.881784197001252E-16",0,"0.0,1.7763568394002505E-15",1.53089232560753,"1.4000225298664235,1.5999787552149565",1.55012047937012,"1.063536123885497,1.5999787552149565",1,10.1890273709791,"4.602913051552894,15.527447860065088",10.2436041157023,"3.0916608262715126,22.409115512799428","stan1290",280,48,2,2760.73502996706,5.63478960316925,"latinofaliscan"
"Belarusian",24,NA,NA,NA,NA,2.40472259616621e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.69059581419784,"0.9806264798719466,2.374091189621169",1.69540838061807,"0.7081322450644709,2.7033943999361645",1,8.78164831020113,"3.3238503050649784,14.843670869017377",8.46454337398024,"2.2059076102653674,25.90180887778926","bela1254",3,53.2307,25.6038,1633.65411617789,1.09861228866811,"slavic"
"Russian",25,NA,NA,NA,NA,2.40965637252273e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.69330803120628,"0.9799090236591841,2.379298138649909",1.69826324607295,"0.7081322450644709,2.900430596266102",1,7.54140836570888,"2.8330131414741757,12.666138183466733",7.29054138079478,"1.9015917243514096,22.495436417930133","russ1263",150,59,50,2361.71396594678,5.01063529409626,"slavic"
"Ukrainian",26,NA,NA,NA,NA,2.41952392523576e-16,"0.0,8.881784197001252E-16",0,"0.0,1.7763568394002505E-15",1.96218216867901,"1.2926957477151984,2.624453357335783",1.96928391245018,"0.7507024431116305,2.9707981214708266",1,7.45578142950688,"2.962271940427374,12.21690153523306",7.26336064164982,"1.8520102271729557,20.935446719695445","ukra1253",32,49.796,29.945,1159.07027464625,3.46573590279973,"slavic"
"Czech",27,NA,NA,NA,NA,2.44320605174704e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.45528980725104,"0.7954549142369105,2.200796449593947",1.45568765895618,"0.4190415105635177,2.5016035172384945",1,8.40942353431906,"2.693410168873507,15.108596685969582",7.76731620541231,"1.9315353697670832,38.49116535245115","czec1258",10,49.873398,15.10437,1902.96809814313,2.30258509299405,"slavic"
"Slovak",28,NA,NA,NA,NA,2.44320605174704e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.45528980725104,"0.7954549142369105,2.200796449593947",1.45568765895618,"0.4190415105635177,2.5016035172384945",1,8.72361999449144,"2.8715507905721016,15.700268013196899",8.06947302125083,"1.9891308452736318,38.49116535245115","slov1269",4,48.545705,18.78479,1597.6087730306,1.38629436111989,"slavic"
"Polish",29,NA,NA,NA,NA,2.42939147794879e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",2.24118941656691,"1.6048714114591096,2.800134461298032",2.26588647116451,"1.039850548584908,3.0142367721320453",1,7.92449685849369,"3.3221038775993867,12.645823984871173",7.79584349996004,"1.9456399319813384,20.184157176001012","poli1260",38,51.8439,18.6255,1819.06667964224,3.63758615972639,"slavic"
"Bulgarian",30,NA,NA,NA,NA,2.44123254120443e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.75644999821116,"1.00234924991513,2.526355933823995",1.77295004318611,"0.5310938269719871,2.86931901782482",1,7.90196344476689,"2.471161985669257,14.502431786685664",7.37352549321628,"1.6062945858232054,24.25761624423233","bulg1262",7,43.3646,25.047,906.493230321179,1.94591014905531,"slavic"
"Macedonian",31,NA,NA,NA,NA,2.44123254120443e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",1.75644999821116,"1.00234924991513,2.526355933823995",1.77295004318611,"0.5310938269719871,2.86931901782482",1,7.84655070339279,"2.5314114881952037,14.52409109991754",7.3192106096504,"1.6062945858232054,24.103283244662425","mace1250",1,41.5957,21.7932,1124.62062127569,0,"slavic"
"SerboCroatian",32,NA,NA,NA,NA,2.42149743577837e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",2.55002468994088,"1.9524382350934646,3.0598266302881836",2.59413603909618,"1.1932191365770564,3.1610258288803847",1,4.04532469499694,"1.7387742370985877,6.342027748281167",4.01415323501992,"1.1221473006749778,9.209806670789117","croa1245",4,45.555,15.982,1665.48459025338,1.38629436111989,"slavic"
"Slovene",33,NA,NA,NA,NA,2.41755041469315e-16,"0.0,8.881784197001252E-16",0,"0.0,2.6645352591003757E-15",2.55312232800651,"1.950945811128157,3.082693518634301",2.59612025231927,"1.1932191365770564,3.1686421335060833",1,6.49718060287589,"2.737302430688287,10.257184985580365",6.44539835662359,"1.853889788506419,16.30996290013471","slov1268",2,46.2543,14.7766,1776.06041214752,0.693147180559945,"slavic"
"Latvian",34,NA,NA,NA,NA,2.42051068050706e-16,"0.0,8.881784197001252E-16",0,"0.0,1.7763568394002505E-15",2.70769986553012,"1.4871761907980012,3.758656619655307",2.78895195397789,"0.6914051932772853,4.417798761503683",1,6.89608658758852,"2.2812067371883806,12.421913332615189",6.42807395379026,"1.7234429626188674,28.70777988517821","stan1325",2,57,24,2050.75918969208,0.693147180559945,"baltic"
"Lithuanian",35,NA,NA,NA,NA,2.42051068050706e-16,"0.0,8.881784197001252E-16",0,"0.0,1.7763568394002505E-15",2.70769986553012,"1.4871761907980012,3.758656619655307",2.78895195397789,"0.6914051932772853,4.417798761503683",1,7.13510234096108,"2.4460980402551074,12.877913892589703",6.64993343634005,"1.7234429626188674,28.70777988517821","lith1251",2,55.1429,23.9601,1871.25575510473,0.693147180559945,"baltic"
"Greek",36,NA,NA,NA,NA,2.42939147794879e-16,"0.0,8.881784197001252E-16",0,"0.0,1.7763568394002505E-15",4.54370461572191,"3.921459022307724,5.7269002423913395",4.39948092566093,"2.9627038519359323,8.329004714339506",1,4.38962819401266,"1.6301167699758274,7.493689040499434",4.3389752320094,"0.4484910233247583,9.192277593476513","mode1248",13,38.36,23.13,1038.42876550598,2.56494935746154,"Greek"
