"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta"
6624,"heggarty2024",0.0124277687036558,-0.21803710855272,0.643916948454789,0.072876852826433,0.987572231296344,0.0107772494538198,0.279063641394969,0.0729555609905966,0.175504564626284,0.311497984947423,0.0352545353235685,0.477742915102724,0.00521354733121501,0.134998406510691,0.0352926107843786
6625,"heggarty2024",0.12953589307853,-0.0719328765726498,0.944488266326152,-0.0489843075473468,0.87046410692147,0.0450110332668657,0.0149009806134046,0.00151847993167456,0.0327387842270224,0.503355835798179,0,0.463905379974798,0.0239881924190671,0.00794133269653841,0.000809259111416919
6626,"heggarty2024",0.29462971466366,0.147593633109754,0.585108192804378,-0.0121860324017046,0.70537028533634,0.0236709930753054,0.00831586993510288,0.199295499515017,0.151983384211794,0.384494184084964,0,0.463522431703241,0.0155550021020015,0.00546463656632316,0.130963745543469
6627,"heggarty2024",0.2922530524842,-0.0467925373154169,0.0862850742509804,0.309111515982428,0.7077469475158,0.0125730357966114,0.00447196817472417,0.0144199918642921,0.0277320281879187,0.0760483212464123,0.272438913363166,0.623780737202503,0.0110813865967379,0.00394141947848288,0.0127092221126979
6628,"heggarty2024",0.171547248726819,0.0486353642973246,0.647365506561669,0.0859018958330183,0.828452751273181,0.0354089560158867,0.00157175063776356,0.0617054962795552,0.0594349705666151,0.389883779948214,0.0517354655331863,0.498945783951984,0.02132547606501,0.000946606010941205,0.0371628884906639
6629,"heggarty2024",0.245383709708239,0.0300226028905745,0.133000593608118,0.0870295081158023,0.754616290291761,0.0307581685177915,0.00522844094448089,0.0224494959554883,0.0565648005487824,0.128741503160242,0.0842425540380518,0.730451142252924,0.0297731968107156,0.00506101009113044,0.0217305936469363
6630,"heggarty2024",-0.0178953282814136,-0.0436452053662654,3.07947830954267,0.650216181626857,1.01789532828141,0.0229680254347607,0.044550850656997,0.00292510874560912,0.0146208988352609,0.639156642446504,0.134954674051504,0.211267784666731,0.00476709511965605,0.00924668702352074,0.000607116692084147
6631,"heggarty2024",0.175310884412356,-0.0307845419882458,1.50884292816973,-0.0238837635181798,0.824689115587644,0.0141550565314514,0.0242887765517233,0.00107823509321929,0.0166545162108368,0.635823229054055,0,0.347522254735108,0.00596491098128253,0.0102352392343598,0.000454365995194545
6632,"heggarty2024",0.401951724183601,-0.0250487427181042,0.647051025643357,0.142678191856956,0.598048275816399,0.00350624120590653,0.0283429162289462,0.0072665581408959,0.027413204668701,0.453468431702462,0.0999922005149221,0.419126163113915,0.00245725551432685,0.0198633759361331,0.00509257321824113
6633,"heggarty2024",0.251942751947074,0.00107639875525504,0.38734158481851,0.129621524755895,0.748057248052926,0.0337315146747962,0.00194454788154381,0.00359646149249287,0.0301102034677696,0.296974391457793,0.099380688629778,0.573534716444659,0.0258619173259976,0.00149088284453784,0.00275740329723414
